name,x,y
西双版纳景洪机场,100.7744313,21.9776014
昆明巫家坝国际机场,102.7497251,25.00325236
丽江丽江机场,100.2551714,26.67491547
临沧临沧机场,100.0331208,23.74695962
德宏芒市芒市机场,98.5388172,24.40831871
思茅思茅机场,100.9697363,22.79949256
昭通昭通机场,103.7606919,27.33019337
杭州萧山国际机场,120.4441989,30.24135657
舟山普陀山机场,122.365917,29.93817171
台州/黄岩路桥机场,121.4278692,28.56065082
衢州衢州机场,118.8875673,28.96032585
宁波栎社机场,121.4729035,29.82483121
温州永强机场,120.8589211,27.91942476
义乌义乌机场,120.0389567,29.34649786
重庆江北国际机场,106.6479401,29.72764612
香港香港国际机场,113.9465423,22.31912878
澳门澳门国际机场,113.5864697,22.16047056
